name,reference product
"transport, freight train, electricity","transport, freight train"
"transport, freight train, electricity","transport, freight train"
"transport, freight train, electricity","transport, freight train"
"transport, freight train, electricity","transport, freight train"
"transport, freight train, electricity","transport, freight train"
"transport, freight train, electricity","transport, freight train"
"transport, freight train, electricity","transport, freight train"
"transport, freight train, electricity","transport, freight train"
"transport, freight train, electricity","transport, freight train"
"transport, freight train, diesel","transport, freight train"
"transport, freight train, diesel","transport, freight train"
"transport, freight train, diesel","transport, freight train"
"transport, freight train, diesel","transport, freight train"
"transport, freight train, diesel","transport, freight train"
"transport, freight train, diesel","transport, freight train"
"transport, freight train, diesel","transport, freight train"
"transport, freight train, diesel","transport, freight train"
"transport, freight train, diesel","transport, freight train"
"transport, freight train, diesel","transport, freight train"
"transport, freight train, diesel","transport, freight train"
"transport, freight train, diesel","transport, freight train"
"transport, freight train, diesel","transport, freight train"
"transport, freight train, diesel, with particle filter","transport, freight train"
"transport, freight train, diesel, with particle filter","transport, freight train"
"transport, freight train, diesel, with particle filter","transport, freight train"
"transport, freight train, diesel, with particle filter","transport, freight train"
"transport, freight train, diesel, with particle filter","transport, freight train"
"transport, freight train, diesel, with particle filter","transport, freight train"
"transport, freight train, diesel, with particle filter","transport, freight train"
"transport, freight train, diesel, with particle filter","transport, freight train"
"transport, freight train, diesel, with particle filter","transport, freight train"
"transport, freight train, diesel, with particle filter","transport, freight train"
"transport, freight train, diesel, with particle filter","transport, freight train"
"transport, freight train, diesel, with particle filter","transport, freight train"
"transport, freight train, diesel, with particle filter","transport, freight train"
ethanol production from sugar beet,"ethanol, without water, in 95% solution state, from fermentation"
ethanol production from sugar beet,"ethanol, without water, in 95% solution state, from fermentation"
ethanol production from sugar beet,"ethanol, without water, in 95% solution state, from fermentation"
ethanol production from sugar beet,"ethanol, without water, in 95% solution state, from fermentation"
ethanol production from sugar beet,"ethanol, without water, in 95% solution state, from fermentation"
ethanol production from sugar beet,"ethanol, without water, in 95% solution state, from fermentation"
ethanol production from sugar beet,"ethanol, without water, in 95% solution state, from fermentation"
ethanol production from sugar beet,"ethanol, without water, in 95% solution state, from fermentation"
ethanol production from sugar beet,"ethanol, without water, in 95% solution state, from fermentation"
ethanol production from sugar beet,"ethanol, without water, in 95% solution state, from fermentation"
ethanol production from sugar beet,"ethanol, without water, in 95% solution state, from fermentation"
ethanol production from sugar beet,"ethanol, without water, in 95% solution state, from fermentation"
ethanol production from sugar beet,"ethanol, without water, in 95% solution state, from fermentation"
ethanol production from sugar beet molasses,"ethanol, without water, in 95% solution state, from fermentation"
ethanol production from sugar beet molasses,"ethanol, without water, in 95% solution state, from fermentation"
ethanol production from sugar beet molasses,"ethanol, without water, in 95% solution state, from fermentation"
ethanol production from sugar beet molasses,"ethanol, without water, in 95% solution state, from fermentation"
ethanol production from sugar beet molasses,"ethanol, without water, in 95% solution state, from fermentation"
ethanol production from sugar beet molasses,"ethanol, without water, in 95% solution state, from fermentation"
ethanol production from sugar beet molasses,"ethanol, without water, in 95% solution state, from fermentation"
ethanol production from sugar beet molasses,"ethanol, without water, in 95% solution state, from fermentation"
ethanol production from sugar beet molasses,"ethanol, without water, in 95% solution state, from fermentation"
ethanol production from sugar beet molasses,"ethanol, without water, in 95% solution state, from fermentation"
ethanol production from sugar beet molasses,"ethanol, without water, in 95% solution state, from fermentation"
ethanol production from sugar beet molasses,"ethanol, without water, in 95% solution state, from fermentation"
ethanol production from sugar beet molasses,"ethanol, without water, in 95% solution state, from fermentation"
"petroleum and gas production, offshore","natural gas, high pressure"
"petroleum and gas production, offshore","natural gas, high pressure"
"petroleum and gas production, offshore","natural gas, high pressure"
"petroleum and gas production, offshore","natural gas, high pressure"
"petroleum and gas production, offshore","natural gas, high pressure"
"petroleum and gas production, offshore","natural gas, high pressure"
"petroleum and gas production, offshore","natural gas, high pressure"
"petroleum and gas production, offshore","natural gas, high pressure"
"petroleum and gas production, offshore","natural gas, high pressure"
"petroleum and gas production, offshore","natural gas, high pressure"
"petroleum and gas production, offshore","natural gas, high pressure"
"petroleum and gas production, offshore","natural gas, high pressure"
"petroleum and gas production, offshore","natural gas, high pressure"
"electricity production, deep geothermal","electricity, high voltage"
"electricity production, deep geothermal","electricity, high voltage"
"electricity production, deep geothermal","electricity, high voltage"
"electricity production, deep geothermal","electricity, high voltage"
"electricity production, deep geothermal","electricity, high voltage"
"electricity production, deep geothermal","electricity, high voltage"
"electricity production, deep geothermal","electricity, high voltage"
"electricity production, deep geothermal","electricity, high voltage"
"electricity production, deep geothermal","electricity, high voltage"
"electricity production, deep geothermal","electricity, high voltage"
"electricity production, deep geothermal","electricity, high voltage"
"electricity production, deep geothermal","electricity, high voltage"
"electricity production, deep geothermal","electricity, high voltage"
"natural gas production, liquefied","natural gas, liquefied"
"natural gas production, liquefied","natural gas, liquefied"
"natural gas production, liquefied","natural gas, liquefied"
"natural gas production, liquefied","natural gas, liquefied"
"natural gas production, liquefied","natural gas, liquefied"
"natural gas production, liquefied","natural gas, liquefied"
"natural gas production, liquefied","natural gas, liquefied"
"natural gas production, liquefied","natural gas, liquefied"
"natural gas production, liquefied","natural gas, liquefied"
"natural gas production, liquefied","natural gas, liquefied"
"natural gas production, liquefied","natural gas, liquefied"
"natural gas production, liquefied","natural gas, liquefied"
"natural gas production, liquefied","natural gas, liquefied"
"heat and power co-generation, natural gas, conventional power plant, 100MW electrical","electricity, high voltage"
"heat and power co-generation, natural gas, conventional power plant, 100MW electrical","electricity, high voltage"
"heat and power co-generation, natural gas, conventional power plant, 100MW electrical","electricity, high voltage"
"heat and power co-generation, natural gas, conventional power plant, 100MW electrical","electricity, high voltage"
"heat and power co-generation, natural gas, conventional power plant, 100MW electrical","electricity, high voltage"
"heat and power co-generation, natural gas, conventional power plant, 100MW electrical","electricity, high voltage"
"heat and power co-generation, natural gas, conventional power plant, 100MW electrical","electricity, high voltage"
"heat and power co-generation, natural gas, conventional power plant, 100MW electrical","electricity, high voltage"
"heat and power co-generation, natural gas, conventional power plant, 100MW electrical","electricity, high voltage"
"heat and power co-generation, natural gas, conventional power plant, 100MW electrical","electricity, high voltage"
"heat and power co-generation, natural gas, conventional power plant, 100MW electrical","electricity, high voltage"
"heat and power co-generation, natural gas, conventional power plant, 100MW electrical","electricity, high voltage"
"heat and power co-generation, natural gas, conventional power plant, 100MW electrical","electricity, high voltage"
"electricity production, wind, <1MW turbine, onshore","electricity, high voltage"
"electricity production, wind, <1MW turbine, onshore","electricity, high voltage"
"electricity production, wind, <1MW turbine, onshore","electricity, high voltage"
"electricity production, wind, <1MW turbine, onshore","electricity, high voltage"
"electricity production, wind, <1MW turbine, onshore","electricity, high voltage"
"electricity production, wind, <1MW turbine, onshore","electricity, high voltage"
"electricity production, wind, <1MW turbine, onshore","electricity, high voltage"
"electricity production, wind, <1MW turbine, onshore","electricity, high voltage"
"electricity production, wind, <1MW turbine, onshore","electricity, high voltage"
"electricity production, wind, <1MW turbine, onshore","electricity, high voltage"
"electricity production, wind, <1MW turbine, onshore","electricity, high voltage"
"electricity production, wind, <1MW turbine, onshore","electricity, high voltage"
"electricity production, wind, <1MW turbine, onshore","electricity, high voltage"
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014","electricity, high voltage"
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014","electricity, high voltage"
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014","electricity, high voltage"
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014","electricity, high voltage"
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014","electricity, high voltage"
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014","electricity, high voltage"
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014","electricity, high voltage"
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014","electricity, high voltage"
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014","electricity, high voltage"
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014","electricity, high voltage"
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014","electricity, high voltage"
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014","electricity, high voltage"
"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014","electricity, high voltage"
"electricity production, hard coal, at coal mine power plant","electricity, high voltage, for internal use in coal mining"
"electricity production, hard coal, at coal mine power plant","electricity, high voltage, for internal use in coal mining"
"electricity production, hard coal, at coal mine power plant","electricity, high voltage, for internal use in coal mining"
"electricity production, hard coal, at coal mine power plant","electricity, high voltage, for internal use in coal mining"
"electricity production, hard coal, at coal mine power plant","electricity, high voltage, for internal use in coal mining"
"electricity production, hard coal, at coal mine power plant","electricity, high voltage, for internal use in coal mining"
"electricity production, hard coal, at coal mine power plant","electricity, high voltage, for internal use in coal mining"
"electricity production, hard coal, at coal mine power plant","electricity, high voltage, for internal use in coal mining"
"electricity production, hard coal, at coal mine power plant","electricity, high voltage, for internal use in coal mining"
"electricity production, hard coal, at coal mine power plant","electricity, high voltage, for internal use in coal mining"
"electricity production, hard coal, at coal mine power plant","electricity, high voltage, for internal use in coal mining"
"electricity production, hard coal, at coal mine power plant","electricity, high voltage, for internal use in coal mining"
"electricity production, hard coal, at coal mine power plant","electricity, high voltage, for internal use in coal mining"
"petrol production, low-sulfur","petrol, low-sulfur"
"petrol production, low-sulfur","petrol, low-sulfur"
"petrol production, low-sulfur","petrol, low-sulfur"
"petrol production, low-sulfur","petrol, low-sulfur"
"petrol production, low-sulfur","petrol, low-sulfur"
"petrol production, low-sulfur","petrol, low-sulfur"
"petrol production, low-sulfur","petrol, low-sulfur"
"petrol production, low-sulfur","petrol, low-sulfur"
"petrol production, low-sulfur","petrol, low-sulfur"
"petrol production, low-sulfur","petrol, low-sulfur"
"petrol production, low-sulfur","petrol, low-sulfur"
"petrol production, low-sulfur","petrol, low-sulfur"
"petrol production, low-sulfur","petrol, low-sulfur"
"electricity production, wind, >3MW turbine, onshore","electricity, high voltage"
"electricity production, wind, >3MW turbine, onshore","electricity, high voltage"
"electricity production, wind, >3MW turbine, onshore","electricity, high voltage"
"electricity production, wind, >3MW turbine, onshore","electricity, high voltage"
"electricity production, wind, >3MW turbine, onshore","electricity, high voltage"
"electricity production, wind, >3MW turbine, onshore","electricity, high voltage"
"electricity production, wind, >3MW turbine, onshore","electricity, high voltage"
"electricity production, wind, >3MW turbine, onshore","electricity, high voltage"
"electricity production, wind, >3MW turbine, onshore","electricity, high voltage"
"electricity production, wind, >3MW turbine, onshore","electricity, high voltage"
"electricity production, wind, >3MW turbine, onshore","electricity, high voltage"
"electricity production, wind, >3MW turbine, onshore","electricity, high voltage"
"electricity production, wind, >3MW turbine, onshore","electricity, high voltage"
"electricity production, natural gas, combined cycle power plant","electricity, high voltage"
"electricity production, natural gas, combined cycle power plant","electricity, high voltage"
"electricity production, natural gas, combined cycle power plant","electricity, high voltage"
"electricity production, natural gas, combined cycle power plant","electricity, high voltage"
"electricity production, natural gas, combined cycle power plant","electricity, high voltage"
"electricity production, natural gas, combined cycle power plant","electricity, high voltage"
"electricity production, natural gas, combined cycle power plant","electricity, high voltage"
"electricity production, natural gas, combined cycle power plant","electricity, high voltage"
"electricity production, natural gas, combined cycle power plant","electricity, high voltage"
"electricity production, natural gas, combined cycle power plant","electricity, high voltage"
"electricity production, natural gas, combined cycle power plant","electricity, high voltage"
"electricity production, natural gas, combined cycle power plant","electricity, high voltage"
"electricity production, natural gas, combined cycle power plant","electricity, high voltage"
"electricity production, hydro, reservoir, non-alpine region","electricity, high voltage"
"electricity production, hydro, reservoir, non-alpine region","electricity, high voltage"
"electricity production, hydro, reservoir, non-alpine region","electricity, high voltage"
"electricity production, hydro, reservoir, non-alpine region","electricity, high voltage"
